Data;Media;Fator Diario
1998-01-02;38.11;1.00128209
1998-01-05;38.06;1.00128065
1998-01-06;38.07;1.00128094
1998-01-07;38.09;1.00128152
1998-01-08;38.1;1.0012818
1998-01-09;38.09;1.00128152
1998-01-12;38.1;1.0012818
1998-01-13;38.08;1.00128123
1998-01-14;37.55;1.00126595
1998-01-15;37.56;1.00126624
1998-01-16;37.61;1.00126768
1998-01-19;37.41;1.0012619
1998-01-20;37.34;1.00125988
1998-01-21;37.29;1.00125843
1998-01-22;37.07;1.00125206
1998-01-23;36.64;1.00123958
1998-01-26;36.35;1.00123113
1998-01-27;36.31;1.00122997
1998-01-28;35.74;1.00121332
1998-01-29;34.02;1.00116265
1998-01-30;34.25;1.00116947
1998-02-02;34.15;1.00116651
1998-02-03;34.23;1.00116888
1998-02-04;34.2;1.00116799
1998-02-05;34.21;1.00116828
1998-02-06;34.22;1.00116858
1998-02-09;34.18;1.0011674
1998-02-10;34.1;1.00116503
1998-02-11;34.07;1.00116414
1998-02-12;34.09;1.00116473
1998-02-13;34.06;1.00116384
1998-02-16;33.94;1.00116028
1998-02-17;33.96;1.00116088
1998-02-18;33.91;1.00115939
1998-02-19;33.75;1.00115464
1998-02-20;33.39;1.00114394
1998-02-25;33.3;1.00114125
1998-02-26;33.25;1.00113976
1998-02-27;33.28;1.00114066
1998-03-02;33.25;1.00113976
1998-03-03;32.81;1.00112662
1998-03-04;28.85;1.00100637
1998-03-05;27.6;1.00096765
1998-03-06;27.63;1.00096858
1998-03-09;27.63;1.00096858
1998-03-10;27.64;1.0009689
1998-03-11;27.61;1.00096796
1998-03-12;27.54;1.00096578
1998-03-13;27.63;1.00096858
1998-03-16;27.54;1.00096578
1998-03-17;27.5;1.00096454
1998-03-18;27.41;1.00096173
1998-03-19;27.45;1.00096298
1998-03-20;27.41;1.00096173
1998-03-23;27.4;1.00096142
1998-03-24;27.35;1.00095986
1998-03-25;27.35;1.00095986
1998-03-26;27.37;1.00096048
1998-03-27;27.34;1.00095955
1998-03-30;27.25;1.00095674
1998-03-31;27.22;1.0009558
1998-04-01;27.27;1.00095737
1998-04-02;27.24;1.00095643
1998-04-03;27.32;1.00095893
1998-04-06;27.66;1.00096952
1998-04-07;27.95;1.00097853
1998-04-08;27.85;1.00097543
1998-04-13;27.81;1.00097418
1998-04-14;27.34;1.00095955
1998-04-15;22.71;1.00081245
1998-04-16;23.35;1.00083311
1998-04-17;23.27;1.00083053
1998-04-20;23.23;1.00082924
1998-04-22;23.2;1.00082827
1998-04-23;23.19;1.00082795
1998-04-24;23.17;1.00082731
1998-04-27;23.15;1.00082666
1998-04-28;23.17;1.00082731
1998-04-29;23.09;1.00082473
1998-04-30;22.83;1.00081633
1998-05-04;23.03;1.00082279
1998-05-05;23.38;1.00083407
1998-05-06;23.19;1.00082795
1998-05-07;23.16;1.00082699
1998-05-08;23.27;1.00083053
1998-05-11;23.23;1.00082924
1998-05-12;23.27;1.00083053
1998-05-13;23.17;1.00082731
1998-05-14;23.24;1.00082956
1998-05-15;23.11;1.00082537
1998-05-18;23.0;1.00082182
1998-05-19;23.02;1.00082247
1998-05-20;22.13;1.00079363
1998-05-21;21.59;1.00077603
1998-05-22;21.58;1.00077571
1998-05-25;21.59;1.00077603
1998-05-26;21.57;1.00077538
1998-05-27;21.62;1.00077701
1998-05-28;21.61;1.00077669
1998-05-29;21.5;1.00077309
1998-06-01;21.13;1.00076098
1998-06-02;21.1;1.00076
1998-06-03;21.13;1.00076098
1998-06-04;21.07;1.00075901
1998-06-05;21.07;1.00075901
1998-06-08;21.08;1.00075934
1998-06-09;21.04;1.00075803
1998-06-10;21.05;1.00075836
1998-06-12;21.06;1.00075868
1998-06-15;21.07;1.00075901
1998-06-16;21.07;1.00075901
1998-06-17;21.14;1.00076131
1998-06-18;21.09;1.00075967
1998-06-19;21.11;1.00076032
1998-06-22;21.06;1.00075868
1998-06-23;20.97;1.00075573
1998-06-24;20.45;1.00073862
1998-06-25;20.56;1.00074225
1998-06-26;20.56;1.00074225
1998-06-29;20.49;1.00073994
1998-06-30;20.43;1.00073796
1998-07-01;20.43;1.00073796
1998-07-02;20.4;1.00073698
1998-07-03;20.35;1.00073533
1998-07-06;20.33;1.00073467
1998-07-07;20.3;1.00073368
1998-07-08;20.42;1.00073763
1998-07-09;20.47;1.00073928
1998-07-10;20.37;1.00073599
1998-07-13;20.37;1.00073599
1998-07-14;20.36;1.00073566
1998-07-15;20.37;1.00073599
1998-07-16;20.37;1.00073599
1998-07-17;20.39;1.00073665
1998-07-20;20.37;1.00073599
1998-07-21;20.37;1.00073599
1998-07-22;20.25;1.00073202
1998-07-23;20.17;1.00072938
1998-07-24;20.07;1.00072608
1998-07-27;20.03;1.00072475
1998-07-28;19.88;1.00071979
1998-07-29;19.65;1.00071216
1998-07-30;19.51;1.00070751
1998-07-31;19.54;1.00070851
